"","2011","2012","2013","2014","2015","2016","2017","2018"
"Alpen Park",0.842105263157895,1,0.891891891891892,0.930232558139535,0.9,0.92156862745098,0.927272727272727,0.836065573770492
"Dreamland Museu de Cera",0.8,0.958333333333333,0.891891891891892,0.952380952380952,0.978260869565217,0.959183673469388,0.910714285714286,0.879310344827586
"Fragram - Museu do Perfume",0.727272727272727,0.884615384615385,0.804878048780488,0.952380952380952,0.9375,0.886792452830189,0.82258064516129,0.82258064516129
"GramadoZoo",0.888888888888889,1,1,0.975609756097561,0.957446808510638,0.92156862745098,0.894736842105263,0.784615384615385
"Harley Motor Show",0.888888888888889,0.958333333333333,0.916666666666667,0.952380952380952,0.957446808510638,0.959183673469388,0.894736842105263,0.894736842105263
"Igreja Matriz São Pedro Apóstolo",1,1,1,1,0.957446808510638,0.959183673469388,1,0.927272727272727
"Lago Negro",0.941176470588235,1,1,1,1,1,0.980769230769231,0.980769230769231
"Mini Mundo",0.941176470588235,1,0.916666666666667,1,1,0.979166666666667,0.944444444444444,0.980769230769231
"Mirante do Belvedere",0.761904761904762,0.884615384615385,0.916666666666667,0.952380952380952,0.957446808510638,0.959183673469388,0.910714285714286,0.80952380952381
"Mundo Encantado",0.761904761904762,0.884615384615385,0.868421052631579,0.930232558139535,0.9375,0.886792452830189,0.836065573770492,0.772727272727273
"Museu do Automóvel - Hollywood Dream Cars",0.888888888888889,0.958333333333333,1,0.952380952380952,0.978260869565217,0.979166666666667,0.910714285714286,0.879310344827586
"O Reino do Chocolate",0.761904761904762,0.851851851851852,0.916666666666667,0.975609756097561,0.978260869565217,0.959183673469388,0.864406779661017,0.894736842105263
"Parque Gaúcho",0.666666666666667,0.793103448275862,0.970588235294118,0.930232558139535,0.9375,0.903846153846154,0.82258064516129,0.739130434782609
"Pórtico via Nova Petrópolis",1,0.92,0.916666666666667,0.975609756097561,0.978260869565217,0.94,0.927272727272727,0.980769230769231
"Pórtico Via Taquara",1,0.92,1,0.975609756097561,1,0.959183673469388,0.927272727272727,0.910714285714286
