"","2011","2012","2013","2014","2015","2016","2017","2018"
"Alpen Park",13,23,29,37,40,43,47,41
"Dreamland Museu de Cera",12,22,29,38,44,45,46,44
"Fragram - Museu do Perfume",10,20,25,38,42,41,40,40
"GramadoZoo",14,23,33,39,43,43,45,37
"Harley Motor Show",14,22,30,38,43,45,45,45
"Igreja Matriz São Pedro Apóstolo",16,23,33,40,43,45,51,47
"Lago Negro",15,23,33,40,45,47,50,50
"Mini Mundo",15,23,30,40,45,46,48,50
"Mirante do Belvedere",11,20,30,38,43,45,46,39
"Mundo Encantado",11,20,28,37,42,41,41,36
"Museu do Automóvel - Hollywood Dream Cars",14,22,33,38,44,46,46,44
"O Reino do Chocolate",11,19,30,39,44,45,43,45
"Parque Gaúcho",8,17,32,37,42,42,40,33
"Pórtico via Nova Petrópolis",16,21,30,39,44,44,47,50
"Pórtico Via Taquara",16,21,33,39,45,45,47,46
"Praça Major Nicoletti",12,19,30,38,43,44,44,43
"Rotula das Bandeiras",14,19,27,39,44,46,47,39
"Casa do Colono",NA,20,29,39,42,45,45,46
"Centro Municipal de Cultura",NA,6,NA,36,41,38,22,22
"Le Jardin Parque de Lavanda",NA,18,26,38,44,44,48,48
"Museu Gramado - Minerais & Pedras Preciosas",NA,12,32,39,41,42,39,34
"Parque do Pinheiro Grosso",NA,17,19,34,36,39,24,18
"Prefeitura Municipal de Gramado",NA,18,26,39,42,44,43,40
"Rua Coberta",NA,22,31,39,44,46,50,50
"A Mina",NA,NA,27,39,42,45,43,43
"Casa Centenária",NA,NA,26,32,41,37,31,25
"Ervateira Marcon - Natural de Gramado",NA,NA,22,36,39,39,29,26
"Fonte do Amor Eterno",NA,NA,20,39,43,46,49,45
"Memorial Casa Italiana",NA,NA,16,30,41,42,38,27
"Museu de Artes Dr. Carlos Nelz",NA,NA,13,35,19,NA,NA,NA
"Museu do Sapato",NA,NA,13,23,40,22,23,NA
"Museu Fioreze",NA,NA,25,33,40,33,27,20
"Parque Temático Mundo Gelado",NA,NA,25,36,40,39,42,34
"Praça das Etnias",NA,NA,28,38,43,47,47,50
"Snowland",NA,NA,27,39,43,46,50,45
"A Rua Torta de Gramado",NA,NA,NA,8,44,46,50,49
"Casa das Artes",NA,NA,NA,20,40,30,17,NA
"Cine -Teatro Elizabeth Rosenfeld",NA,NA,NA,33,30,34,19,23
"Mundo de Chocolate",NA,NA,NA,30,44,45,47,48
"Museu Naval",NA,NA,NA,29,40,27,30,NA
"Vinícola Ravanello",NA,NA,NA,32,40,37,37,33
"Aldeia do Papai Noel",NA,NA,NA,NA,43,45,45,47
"Central de Informações Turísticas de Gramado",NA,NA,NA,NA,36,35,39,37
"Gram Bier",NA,NA,NA,NA,11,40,37,34
"Museu do Festival de Cinema de Gramado",NA,NA,NA,NA,16,31,38,37
"Praça da Criança",NA,NA,NA,NA,35,29,23,14
"Caro Watson Escape Game",NA,NA,NA,NA,NA,8,34,28
"Galleria D'arte Giovanni Bocchi",NA,NA,NA,NA,NA,13,NA,NA
"Vinicola Masotti",NA,NA,NA,NA,NA,27,26,34
"Capela Cristo Ressuscitado",NA,NA,NA,NA,NA,NA,15,NA
"Casa Seganfredo",NA,NA,NA,NA,NA,NA,21,25
"Chave-Mestra Escape Game Gramado",NA,NA,NA,NA,NA,NA,39,34
"Igreja Metodista",NA,NA,NA,NA,NA,NA,16,14
"Parque do Palácio",NA,NA,NA,NA,NA,NA,12,NA
"Caminho das Estrelas",NA,NA,NA,NA,NA,NA,NA,29
"Cascata Véu de Noiva",NA,NA,NA,NA,NA,NA,NA,14
"Estátua do Maestro Eleazar de Carvalho",NA,NA,NA,NA,NA,NA,NA,23
"Praça do Moínho",NA,NA,NA,NA,NA,NA,NA,23
"Trem Maria Fumaça",NA,NA,NA,NA,NA,NA,NA,14
