"","Degree","W_degree","Closeness","Betweenness","Bonacich","Eigen"
"A Mina",51,6623,0.373417721518987,4.4305922275399,-1.09474537168062,0.077164384341578
"A Rua Torta de Gramado",57,11445,0.424460431654676,27.4262149476725,-1.0635059189736,0.13358946714838
"Aldeia do Papai Noel",55,14046,0.424460431654676,22.3102702985775,-1.13963062506131,0.198302679417495
"Alpen Park",53,12631,0.421428571428571,18.8925532073058,-0.880464325482988,0.168386031198096
"Caminho das Estrelas",29,59,0.479674796747967,118.090038614275,-1.40256173948378,0.000518960105368241
"Capela Cristo Ressuscitado",16,17,0.415492957746479,185.142411221571,0.0467377000481922,0.000175302994476018
"Caro Watson Escape Game",36,371,0.395973154362416,53.537413054948,-0.834686079898859,0.00506613917374393
"Casa Centenária",47,1817,0.355421686746988,6.22616680430588,-0.856633786120471,0.0184432164251054
"Casa das Artes",43,300,0.415492957746479,39.5873193826736,-0.908129987221404,0.00300095067748698
"Casa do Colono",51,17924,0.293532338308458,0,-1.16146811560938,0.232164668055666
"Casa Seganfredo",29,272,0.380645161290323,51.3106199844052,-0.276081471770417,0.00387322972708269
"Cascata Véu de Noiva",14,22,0.433823529411765,40.4074074200952,-0.900228735290297,0.000237739748460373
"Central de Informações Turísticas de Gramado",50,919,0.440298507462687,57.4648306943088,-0.912664609117773,0.00902329608514529
"Centro Municipal de Cultura",46,772,0.395973154362416,20.3723761385149,-0.550922630951969,0.00759641221341129
"Chave-Mestra Escape Game Gramado",41,629,0.380645161290323,32.4156568321215,-0.904249791311398,0.0076630101130833
"Cine -Teatro Elizabeth Rosenfeld",45,512,0.366459627329193,11.9709066318043,-0.926679483866088,0.00525921437196094
"Colorio",7,8,0.337142857142857,10.8407991000021,-1.7507406994376,9.39698967267636e-05
"Dreamland Museu de Cera",53,30596,0.404109589041096,2.8068963335663,-0.790786101953012,0.407473624552557
"Ervateira Marcon - Natural de Gramado",48,1389,0.371069182389937,16.3411893259719,-0.387196962423522,0.0138960134242813
"Estátua do Maestro Eleazar de Carvalho",24,29,0.517543859649123,171.797921329201,-0.954412720475877,0.000148078274621047
"Fonte do Amor Eterno",52,25822,0.345029239766082,2.23183709292736,-0.856672970214473,0.333936748386244
"Fragram - Museu do Perfume",51,4473,0.395973154362416,20.8827038095313,-0.446488573346262,0.0508238303332619
"Galleria D'arte Giovanni Bocchi",17,21,0.401360544217687,138.980434559837,-1.87176464185957,0.000225251525937959
"Gram Bier",45,1078,0.373417721518987,23.8391490501616,-0.0768779923934311,0.0141764099881832
"GramadoZoo",51,15561,0.353293413173653,4.38364810254345,-0.927301036949529,0.204386670326017
"Harley Motor Show",55,30017,0.443609022556391,17.8618917817927,-0.806120041505352,0.401993934437877
"Igreja Matriz São Pedro Apóstolo",55,45237,0.415492957746479,6.05136494023013,-0.739397297576607,0.602086098508985
"Igreja Metodista",26,30,0.51304347826087,196.09439776132,-0.66998713135212,0.000197910541842123
"Lago Negro",57,81306,0.424460431654676,4.89317931867761,-1.06350591897358,1
"Le Jardin Parque de Lavanda",53,20627,0.357575757575758,0,-0.758148223264043,0.27943207839359
"Memorial Casa Italiana",49,1597,0.380645161290323,13.2019991129471,-0.730143308507938,0.0160018131353215
"Mini Mundo",57,70504,0.406896551724138,13.1869002444195,-0.995078819053687,0.920574839800202
"Mirante do Belvedere",56,11763,0.443609022556391,38.191641514777,-1.673262399313,0.13934541985031
"Mundo de Chocolate",56,12588,0.406896551724138,17.2174853955532,-0.394930524158777,0.157554028210515
"Mundo Encantado",52,4506,0.433823529411765,38.7717945442579,-0.836966113742671,0.0513598964130754
"Museu de Artes Dr. Carlos Nelz",40,153,0.378205128205128,30.7065411715911,-1.30314483960019,0.00123510151781848
"Museu do Automóvel - Hollywood Dream Cars",54,32649,0.418439716312057,6.05136494023013,-0.62781537372288,0.422090959637697
