"","X2011","X2012","X2013","X2014","X2015","X2016","X2017","X2018"
"Alpen Park",10,3,20,25,34,28,9,23
"Dreamland Museu de Cera",12.5,8.5,21,21.5,6.5,4,17,16
"Fragram - Museu do Perfume",14,11,30,19,21,32,35,22
"GramadoZoo",9,3,3,12.5,18.5,12,23,25
"Harley Motor Show",7.5,8.5,16,21.5,22.5,14,18,14
"Igreja Matriz São Pedro Apóstolo",2,3,3,2,15.5,18.5,1,12
"Lago Negro",5.5,3,3,2,2,1.5,4,4
"Mini Mundo",5.5,3,16,2,2,9,7,1
"Mirante do Belvedere",15.5,16.5,16,21.5,18.5,13,13,28
"Mundo Encantado",11,16.5,22,25,25.5,29,27,33
"Museu do Automóvel - Hollywood Dream Cars",7.5,8.5,3,21.5,12,3,16,18
"O Reino do Chocolate",15.5,15,11,5,6.5,18.5,25,19
"Parque Gaúcho",17,21,6.5,25,24,22,31,40
"Pórtico via Nova Petrópolis",2,13.5,16,12.5,12,24.5,8,4
"Pórtico Via Taquara",2,13.5,3,12.5,2,18.5,14,10
"Praça Major Nicoletti",12.5,20,16,8,18.5,23,24,21
"Rotula das Bandeiras",4,18,23,4,12,9,12,20
"Casa do Colono",,12,13,12.5,30.5,18.5,21,13
"Centro Municipal de Cultura",,23.5,,32,27,38,49.5,35
"Le Jardin Parque de Lavanda",,19,26,17.5,4.5,26,11,6
"Museu Gramado - Minerais & Pedras Preciosas",,23.5,6.5,6.5,36,30,32,34
"Parque do Pinheiro Grosso",,6,32.5,35,41,34,38,51.5
"Prefeitura Municipal de Gramado",,22,28,12.5,30.5,24.5,20,15
"Rua Coberta",,8.5,9,12.5,4.5,5,4,4
"A Mina",,,24.5,12.5,25.5,18.5,28,24
"Casa Centenária",,,10,28,32,40,41,44
"Ervateira Marcon - Natural de Gramado",,,19,27,40,35,39,42
"Fonte do Amor Eterno",,,32.5,6.5,15.5,9,6,17
"Memorial Casa Italiana",,,27,33,33,27,34,47
"Museu de Artes Dr. Carlos Nelz",,,32.5,30,42,,,
"Museu do Sapato",,,32.5,40,28,47,49.5,
"Museu Fioreze",,,12,34,38,39,42,49
"Parque Temático Mundo Gelado",,,29,31,9,33,19,39
"Praça das Etnias",,,8,17.5,18.5,1.5,15,2
"Snowland",,,24.5,12.5,22.5,9,2,11
"A Rua Torta de Gramado",,,,40,12,9,4,7
"Casa das Artes",,,,36,39,43.5,49.5,
"Cine -Teatro Elizabeth Rosenfeld",,,,37,43,37,44,46
"Mundo de Chocolate",,,,29,12,18.5,10,9
"Museu Naval",,,,38,37,45,40,
"Vinícola Ravanello",,,,40,35,36,37,37
"Aldeia do Papai Noel",,,,,8,6,22,8
"Central de Informações Turísticas de Gramado",,,,,45,31,26,26
"Gram Bier",,,,,45,15,36,38
"Museu do Festival de Cinema de Gramado",,,,,45,43.5,30,29
"Praça da Criança",,,,,29,41,46,51.5
"Caro Watson Escape Game",,,,,,47,29,43
"Galleria D'arte Giovanni Bocchi",,,,,,47,,
"Vinicola Masotti",,,,,,42,43,30
"Capela Cristo Ressuscitado",,,,,,,49.5,
"Casa Seganfredo",,,,,,,45,50
"Chave-Mestra Escape Game Gramado",,,,,,,33,32
"Igreja Metodista",,,,,,,49.5,36
"Parque do Palácio",,,,,,,49.5,
"Caminho das Estrelas",,,,,,,,27
"Cascata Véu de Noiva",,,,,,,,41
"Estátua do Maestro Eleazar de Carvalho",,,,,,,,31
"Praça do Moínho",,,,,,,,48
"Trem Maria Fumaça",,,,,,,,45
