"","X2011","X2012","X2013","X2014","X2015","X2016","X2017","X2018"
"Alpen Park",10,3,16,25,35,24.5,11.5,21
"Dreamland Museu de Cera",11.5,7.5,16,19.5,8,14.5,16,17.5
"Fragram - Museu do Perfume",16,13.5,27,19.5,24.5,29.5,28.5,22.5
"GramadoZoo",7.5,3,3,9.5,17,24.5,19.5,27
"Harley Motor Show",7.5,7.5,11.5,19.5,17,14.5,19.5,14.5
"Igreja Matriz São Pedro Apóstolo",2,3,3,2,17,14.5,1,9.5
"Lago Negro",4.5,3,3,2,2,1.5,3.5,3
"Mini Mundo",4.5,3,11.5,2,2,6,7.5,3
"Mirante do Belvedere",14,13.5,11.5,19.5,17,14.5,16,24.5
"Mundo Encantado",14,13.5,18.5,25,24.5,29.5,27,29
"Museu do Automóvel - Hollywood Dream Cars",7.5,7.5,3,19.5,8,6,16,17.5
"O Reino do Chocolate",14,17,11.5,9.5,8,14.5,24,14.5
"Parque Gaúcho",17,21.5,6.5,25,24.5,27,28.5,35.5
"Pórtico via Nova Petrópolis",2,10.5,11.5,9.5,8,21.5,11.5,3
"Pórtico Via Taquara",2,10.5,3,9.5,2,14.5,11.5,11.5
"Praça Major Nicoletti",11.5,17,11.5,19.5,17,21.5,22,19.5
"Rotula das Bandeiras",7.5,17,21,9.5,8,6,11.5,24.5
"Casa do Colono",,13.5,16,9.5,24.5,14.5,19.5,11.5
"Centro Municipal de Cultura",,24,,28,29.5,35,46,46
"Le Jardin Parque de Lavanda",,19.5,24,19.5,8,21.5,7.5,7.5
"Museu Gramado - Minerais & Pedras Preciosas",,23,6.5,9.5,29.5,27,31,32
"Parque do Pinheiro Grosso",,21.5,31,31,40.5,33,43,48
"Prefeitura Municipal de Gramado",,19.5,24,9.5,24.5,21.5,24,22.5
"Rua Coberta",,7.5,8,9.5,8,6,3.5,3
"A Mina",,,21,9.5,24.5,14.5,24,19.5
"Casa Centenária",,,24,34.5,29.5,36.5,38,41.5
"Ervateira Marcon - Natural de Gramado",,,29,28,39,33,40,40
"Fonte do Amor Eterno",,,30,9.5,17,6,6,14.5
"Memorial Casa Italiana",,,32,36.5,29.5,27,33.5,39
"Museu de Artes Dr. Carlos Nelz",,,33.5,30,44,,,
"Museu do Sapato",,,33.5,39,35,46,44.5,
"Museu Fioreze",,,27,32.5,35,40,41,47
"Parque Temático Mundo Gelado",,,27,28,35,33,26,32
"Praça das Etnias",,,18.5,19.5,17,1.5,11.5,3
"Snowland",,,21,9.5,17,6,3.5,14.5
"A Rua Torta de Gramado",,,,41,8,6,3.5,6
"Casa das Artes",,,,40,35,42,49,
"Cine -Teatro Elizabeth Rosenfeld",,,,32.5,43,39,48,44
"Mundo de Chocolate",,,,36.5,8,14.5,11.5,7.5
"Museu Naval",,,,38,35,44.5,39,
"Vinícola Ravanello",,,,34.5,35,36.5,35.5,35.5
"Aldeia do Papai Noel",,,,,17,14.5,19.5,9.5
"Central de Informações Turísticas de Gramado",,,,,40.5,38,31,27
"Gram Bier",,,,,46,31,35.5,32
"Museu do Festival de Cinema de Gramado",,,,,45,41,33.5,27
"Praça da Criança",,,,,42,43,44.5,50.5
"Caro Watson Escape Game",,,,,,48,37,38
"Galleria D'arte Giovanni Bocchi",,,,,,47,,
"Vinicola Masotti",,,,,,44.5,42,32
"Capela Cristo Ressuscitado",,,,,,,51,
"Casa Seganfredo",,,,,,,47,41.5
"Chave-Mestra Escape Game Gramado",,,,,,,31,32
"Igreja Metodista",,,,,,,50,50.5
"Parque do Palácio",,,,,,,52,
"Caminho das Estrelas",,,,,,,,37
"Cascata Véu de Noiva",,,,,,,,50.5
"Estátua do Maestro Eleazar de Carvalho",,,,,,,,44
"Praça do Moínho",,,,,,,,44
"Trem Maria Fumaça",,,,,,,,50.5
