"","X2011","X2012","X2013","X2014","X2015","X2016","X2017","X2018"
"Alpen Park",6,8,9,14,21,19,20,19
"Dreamland Museu de Cera",13,7,7,7,6,6,7,8
"Fragram - Museu do Perfume",16,15,24,25,30,29,27,31
"GramadoZoo",3,5,6,9,15,20,17,17
"Harley Motor Show",11.5,4,5,5,7,9,10,10
"Igreja Matriz São Pedro Apóstolo",4,6,4,4,4,5,4,5
"Lago Negro",1,1,1,1,1,1,1,1
"Mini Mundo",2,2,2,2,2,2,3,3
"Mirante do Belvedere",10,11,10,12,17,22,21,25
"Mundo Encantado",14,17,22,26,28,30,30,27
"Museu do Automóvel - Hollywood Dream Cars",5,3,3,6,5,7,9,11
"O Reino do Chocolate",11.5,12,15,18,16,17,18,18
"Parque Gaúcho",17,20,17,21,26,28,25,23
"Pórtico via Nova Petrópolis",9,9,8,8,10,10,12,13
"Pórtico Via Taquara",8,13,18,17,13,18,19,21
"Praça Major Nicoletti",7,14,13,16,18,23,23,22
"Rotula das Bandeiras",15,18,25,23,19,21,24,32
"Casa do Colono",,16,12,10,12,14,16,15
"Centro Municipal de Cultura",,24,,35,36,38,45,46
"Le Jardin Parque de Lavanda",,21,16,15,14,11,8,6
"Museu Gramado - Minerais & Pedras Preciosas",,22,21,20,23,25,28,29
"Parque do Pinheiro Grosso",,23,26,29,35,36,44,51
"Prefeitura Municipal de Gramado",,19,19,19,24,27,29,34
"Rua Coberta",,10,11,11,8,3,2,2
"A Mina",,,23,27,29,24,22,20
"Casa Centenária",,,28.5,33,32,32,38,39
"Ervateira Marcon - Natural de Gramado",,,30.5,31,34,33,39,40.5
"Fonte do Amor Eterno",,,30.5,13,9,8,6,7
"Memorial Casa Italiana",,,32,30,33,35,35,38
"Museu de Artes Dr. Carlos Nelz",,,33,37,44,,,
"Museu do Sapato",,,34,40,42,46,49,
"Museu Fioreze",,,28.5,32,37,39,46,43
"Parque Temático Mundo Gelado",,,20,22,27,26,26,24
"Praça das Etnias",,,27,24,11,15,14,14
"Snowland",,,14,3,3,4,5,4
"A Rua Torta de Gramado",,,,41,25,16,13,9
"Casa das Artes",,,,39,38,44,48,
"Cine -Teatro Elizabeth Rosenfeld",,,,34,39,41,47,45
"Mundo de Chocolate",,,,38,20,13,15,16
"Museu Naval",,,,36,40,42,43,
"Vinícola Ravanello",,,,28,31,31,32,28
"Aldeia do Papai Noel",,,,,22,12,11,12
"Central de Informações Turísticas de Gramado",,,,,43,37,33,35
"Gram Bier",,,,,46,34,34,33
"Museu do Festival de Cinema de Gramado",,,,,45,40,31,30
"Praça da Criança",,,,,41,43,41,44
"Caro Watson Escape Game",,,,,,48,37,37
"Galleria D'arte Giovanni Bocchi",,,,,,47,,
"Vinicola Masotti",,,,,,45,42,40.5
"Capela Cristo Ressuscitado",,,,,,,50.5,
"Casa Seganfredo",,,,,,,40,36
"Chave-Mestra Escape Game Gramado",,,,,,,36,26
"Igreja Metodista",,,,,,,50.5,52
"Parque do Palácio",,,,,,,52,
"Caminho das Estrelas",,,,,,,,42
"Cascata Véu de Noiva",,,,,,,,49
"Estátua do Maestro Eleazar de Carvalho",,,,,,,,47
"Praça do Moínho",,,,,,,,48
"Trem Maria Fumaça",,,,,,,,50
