"","Alpen Park","Dreamland Museu de Cera","Fragram - Museu do Perfume","GramadoZoo","Harley Motor Show","Igreja Matriz São Pedro Apóstolo","Lago Negro","Mini Mundo","Mirante do Belvedere","Mundo Encantado","Museu do Automóvel - Hollywood Dream Cars","O Reino do Chocolate","Parque do Pinheiro Grosso","Parque Gaúcho","Pórtico via Nova Petrópolis","Pórtico Via Taquara","Praça Major Nicoletti","Rotula das Bandeiras","Rua Coberta"
"Alpen Park",39,1,0,11,1,6,14,7,3,0,4,2,0,0,1,2,3,1,0
"Dreamland Museu de Cera",1,6,0,1,2,2,4,2,1,0,3,1,0,0,1,1,2,0,0
"Fragram - Museu do Perfume",0,0,4,0,1,1,2,1,0,1,1,0,0,1,1,1,0,1,1
"GramadoZoo",11,1,0,47,2,5,15,14,3,1,7,3,0,0,1,2,4,1,0
"Harley Motor Show",1,2,1,2,7,2,4,3,0,2,5,0,0,1,1,3,1,1,1
"Igreja Matriz São Pedro Apóstolo",6,2,1,5,2,22,16,10,2,1,3,5,0,1,4,4,4,1,1
"Lago Negro",14,4,2,15,4,16,101,36,6,1,11,5,0,0,3,6,8,1,2
"Mini Mundo",7,2,1,14,3,10,36,82,5,4,13,5,0,0,5,5,6,1,0
"Mirante do Belvedere",3,1,0,3,0,2,6,5,6,0,0,2,0,0,3,1,3,1,0
"Mundo Encantado",0,0,1,1,2,1,1,4,0,6,3,0,0,1,2,1,0,1,0
"Museu do Automóvel - Hollywood Dream Cars",4,3,1,7,5,3,11,13,0,3,21,0,0,1,1,3,2,1,0
"O Reino do Chocolate",2,1,0,3,0,5,5,5,2,0,0,11,0,0,2,1,2,1,0
"Parque do Pinheiro Grosso",0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
"Parque Gaúcho",0,0,1,0,1,1,0,0,0,1,1,0,0,1,1,1,0,1,0
"Pórtico via Nova Petrópolis",1,1,1,1,1,4,3,5,3,2,1,2,0,1,7,3,3,1,0
"Pórtico Via Taquara",2,1,1,2,3,4,6,5,1,1,3,1,0,1,3,9,3,1,1
"Praça Major Nicoletti",3,2,0,4,1,4,8,6,3,0,2,2,0,0,3,3,8,0,0
"Rotula das Bandeiras",1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,2,0
"Rua Coberta",0,0,1,0,1,1,2,0,0,0,0,0,0,0,0,1,0,0,2
