"","A Mina","Alpen Park","Casa do Colono","Centro Municipal de Cultura","Cine -Teatro Elizabeth Rosenfeld","Dreamland Museu de Cera","Ervateira Marcon - Natural de Gramado","Fragram - Museu do Perfume","GramadoZoo","Harley Motor Show","Igreja Matriz São Pedro Apóstolo","Lago Negro","Le Jardin Parque de Lavanda","Mini Mundo","Mirante do Belvedere","Mundo Encantado","Museu do Automóvel - Hollywood Dream Cars","Museu Fioreze","Museu Gramado - Minerais & Pedras Preciosas","O Reino do Chocolate","Parque do Pinheiro Grosso","Parque Gaúcho","Parque Temático Mundo Gelado","Pórtico via Nova Petrópolis","Pórtico Via Taquara","Praça das Etnias","Praça Major Nicoletti","Prefeitura Municipal de Gramado","Rotula das Bandeiras","Rua Coberta"
"A Mina",3,0,1,0,0,0,0,0,0,1,0,1,0,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
"Alpen Park",0,228,4,2,0,20,0,3,32,18,13,69,1,71,5,9,44,0,4,9,6,3,0,10,6,0,6,2,3,18
"Casa do Colono",1,4,47,0,0,1,0,1,9,6,11,26,4,24,3,1,12,0,1,1,0,2,0,4,1,0,4,2,0,1
"Centro Municipal de Cultura",0,2,0,3,0,0,0,0,2,0,1,3,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Cine -Teatro Elizabeth Rosenfeld",0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"Dreamland Museu de Cera",0,20,1,0,0,155,0,6,29,63,27,67,1,69,4,7,55,0,2,9,1,6,0,13,10,1,3,3,7,20
"Ervateira Marcon - Natural de Gramado",0,0,0,0,0,0,2,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
"Fragram - Museu do Perfume",0,3,1,0,0,6,0,37,6,10,8,24,0,24,1,1,10,0,1,8,1,0,0,4,1,0,2,1,3,7
"GramadoZoo",0,32,9,2,0,29,1,6,346,38,34,128,7,136,15,4,46,1,5,9,2,10,0,14,8,0,6,5,2,17
"Harley Motor Show",1,18,6,0,0,63,0,10,38,203,39,109,5,120,14,7,97,0,4,12,2,5,0,19,13,0,7,4,4,15
"Igreja Matriz São Pedro Apóstolo",0,13,11,1,0,27,0,8,34,39,203,142,1,106,21,9,37,0,2,9,3,1,0,24,13,0,18,5,6,18
"Lago Negro",1,69,26,3,1,67,0,24,128,109,142,959,13,468,51,17,134,0,7,32,4,6,1,52,25,1,29,15,14,48
"Le Jardin Parque de Lavanda",0,1,4,0,0,1,1,0,7,5,1,13,26,10,1,2,3,0,0,1,0,2,0,1,1,0,1,1,0,2
"Mini Mundo",2,71,24,2,1,69,0,24,136,120,106,468,10,849,44,18,149,0,12,33,4,8,2,47,26,0,25,16,12,45
"Mirante do Belvedere",0,5,3,0,0,4,0,1,15,14,21,51,1,44,76,3,22,0,0,0,1,2,0,10,9,0,10,3,4,5
"Mundo Encantado",0,9,1,0,0,7,0,1,4,7,9,17,2,18,3,30,11,0,0,3,1,2,0,4,3,0,3,0,1,4
"Museu do Automóvel - Hollywood Dream Cars",1,44,12,0,0,55,0,10,46,97,37,134,3,149,22,11,322,0,5,14,4,5,1,21,11,1,8,4,5,22
"Museu Fioreze",0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
"Museu Gramado - Minerais & Pedras Preciosas",1,4,1,0,0,2,1,1,5,4,2,7,0,12,0,0,5,1,19,1,0,0,0,0,0,0,0,0,0,2
"O Reino do Chocolate",0,9,1,0,0,9,0,8,9,12,9,32,1,33,0,3,14,0,1,54,0,0,0,7,4,0,1,1,3,12
"Parque do Pinheiro Grosso",0,6,0,1,0,1,0,1,2,2,3,4,0,4,1,1,4,0,0,0,13,2,0,1,1,0,0,0,2,1
"Parque Gaúcho",0,3,2,0,0,6,0,0,10,5,1,6,2,8,2,2,5,0,0,0,2,18,0,2,2,0,0,0,1,1
"Parque Temático Mundo Gelado",0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,1,0,0,0,0,0,4,0,0,0,0,1,0,0
"Pórtico via Nova Petrópolis",0,10,4,0,1,13,0,4,14,19,24,52,1,47,10,4,21,0,0,7,1,2,0,80,16,1,9,6,6,11
"Pórtico Via Taquara",0,6,1,0,0,10,0,1,8,13,13,25,1,26,9,3,11,0,0,4,1,2,0,16,39,0,5,1,5,5
"Praça das Etnias",0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0
"Praça Major Nicoletti",0,6,4,0,0,3,0,2,6,7,18,29,1,25,10,3,8,0,0,1,0,0,0,9,5,0,39,4,4,2
"Prefeitura Municipal de Gramado",0,2,2,0,0,3,0,1,5,4,5,15,1,16,3,0,4,0,0,1,0,0,1,6,1,0,4,37,3,4
"Rotula das Bandeiras",0,3,0,0,0,7,0,3,2,4,6,14,0,12,4,1,5,0,0,3,2,1,0,6,5,1,4,3,18,5
"Rua Coberta",0,18,1,0,0,20,0,7,17,15,18,48,2,45,5,4,22,0,2,12,1,1,0,11,5,0,2,4,5,84
