"","A Mina","Alpen Park","Casa Centenária","Casa do Colono","Centro Municipal de Cultura","Cine -Teatro Elizabeth Rosenfeld","Dreamland Museu de Cera","Ervateira Marcon - Natural de Gramado","Fonte do Amor Eterno","Fragram - Museu do Perfume","GramadoZoo","Harley Motor Show","Igreja Matriz São Pedro Apóstolo","Lago Negro","Le Jardin Parque de Lavanda","Memorial Casa Italiana","Mini Mundo","Mirante do Belvedere","Mundo Encantado","Museu de Artes Dr. Carlos Nelz","Museu do Automóvel - Hollywood Dream Cars","Museu do Sapato","Museu Fioreze","Museu Gramado - Minerais & Pedras Preciosas","Museu Naval","O Reino do Chocolate","Parque do Pinheiro Grosso","Parque Gaúcho","Parque Temático Mundo Gelado","Pórtico via Nova Petrópolis","Pórtico Via Taquara","Praça das Etnias","Praça Major Nicoletti","Prefeitura Municipal de Gramado","Rotula das Bandeiras","Rua Coberta","Snowland","Vinícola Ravanello"
"A Mina",78,11,0,3,0,0,11,0,1,2,18,12,11,37,6,0,32,6,3,0,14,0,0,3,0,5,1,9,8,5,6,1,5,5,3,8,4,0
"Alpen Park",11,520,1,22,0,0,43,1,1,9,67,52,44,164,18,0,154,25,9,0,97,0,3,13,0,18,6,19,63,34,12,0,17,10,6,32,32,0
"Casa Centenária",0,1,6,1,0,0,2,2,0,1,4,1,2,4,0,1,5,1,1,1,4,1,3,3,0,2,0,2,0,1,3,3,2,0,2,1,0,0
"Casa do Colono",3,22,1,296,0,0,30,0,2,6,43,49,78,160,27,1,146,32,4,0,54,0,1,14,0,15,0,13,4,27,17,1,19,15,6,28,18,0
"Centro Municipal de Cultura",0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"Cine -Teatro Elizabeth Rosenfeld",0,0,0,0,0,3,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0
"Dreamland Museu de Cera",11,43,2,30,0,0,416,0,1,15,56,167,75,193,23,0,198,21,13,0,148,0,2,30,0,45,2,24,23,35,16,1,24,15,10,41,28,0
"Ervateira Marcon - Natural de Gramado",0,1,2,0,0,0,0,5,0,0,3,1,2,4,0,1,3,1,0,1,1,1,3,3,0,1,0,1,0,1,2,3,2,0,1,2,0,0
"Fonte do Amor Eterno",1,1,0,2,0,0,1,0,10,0,1,3,2,3,1,0,4,3,1,0,1,0,0,0,0,3,0,0,0,2,3,0,3,3,0,1,1,0
"Fragram - Museu do Perfume",2,9,1,6,0,0,15,0,0,51,6,12,15,30,7,0,31,11,5,0,12,0,0,8,0,12,0,2,3,13,6,0,4,4,4,6,4,0
"GramadoZoo",18,67,4,43,0,0,56,3,1,6,681,85,89,292,46,1,291,43,11,1,108,1,4,18,0,25,4,108,20,57,31,4,34,19,8,33,45,0
"Harley Motor Show",12,52,1,49,0,0,167,1,3,12,85,595,131,360,32,0,346,54,11,0,298,0,2,43,0,44,5,30,22,55,27,1,43,25,10,46,44,0
"Igreja Matriz São Pedro Apóstolo",11,44,2,78,0,1,75,2,2,15,89,131,735,471,46,1,370,93,21,1,153,1,2,23,0,44,5,37,24,97,46,5,75,52,13,78,45,0
"Lago Negro",37,164,4,160,1,1,193,4,3,30,292,360,471,2410,119,1,1217,151,44,1,395,1,5,57,0,88,12,78,61,185,74,6,104,82,23,165,121,1
"Le Jardin Parque de Lavanda",6,18,0,27,0,0,23,0,1,7,46,32,46,119,251,0,100,21,2,0,38,0,0,7,0,8,1,15,4,24,12,0,17,8,2,17,27,0
"Memorial Casa Italiana",0,0,1,1,0,0,0,1,0,0,1,0,1,1,0,3,0,0,0,1,1,1,1,1,0,1,0,2,0,0,1,2,0,0,0,1,0,0
"Mini Mundo",32,154,5,146,1,0,198,3,4,31,291,346,370,1217,100,0,2233,128,40,0,390,0,5,53,0,85,10,63,51,147,56,3,95,65,19,130,135,0
"Mirante do Belvedere",6,25,1,32,0,0,21,1,3,11,43,54,93,151,21,0,128,232,11,0,56,0,1,9,0,21,2,18,15,57,27,2,42,21,9,23,17,0
"Mundo Encantado",3,9,1,4,0,0,13,0,1,5,11,11,21,44,2,0,40,11,72,0,19,0,1,2,0,8,0,4,9,13,6,2,9,4,3,11,5,0
"Museu de Artes Dr. Carlos Nelz",0,0,1,0,1,0,0,1,0,0,1,0,1,1,0,1,0,0,0,2,1,1,2,2,0,0,0,1,0,0,1,1,0,0,0,0,0,0
"Museu do Automóvel - Hollywood Dream Cars",14,97,4,54,0,0,148,1,1,12,108,298,153,395,38,1,390,56,19,1,751,1,2,47,0,46,7,29,43,67,29,3,40,25,9,53,59,0
"Museu do Sapato",0,0,1,0,0,0,0,1,0,0,1,0,1,1,0,1,0,0,0,1,1,1,1,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0
"Museu Fioreze",0,3,3,1,1,0,2,3,0,0,4,2,2,5,0,1,5,1,1,2,2,1,7,3,0,1,0,1,0,2,2,3,2,0,1,1,0,0
"Museu Gramado - Minerais & Pedras Preciosas",3,13,3,14,1,0,30,3,0,8,18,43,23,57,7,1,53,9,2,2,47,1,3,102,0,11,1,11,8,11,10,2,7,4,3,12,8,0
"Museu Naval",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
"O Reino do Chocolate",5,18,2,15,0,1,45,1,3,12,25,44,44,88,8,1,85,21,8,0,46,0,1,11,0,166,0,13,11,24,14,4,14,11,12,34,9,0
"Parque do Pinheiro Grosso",1,6,0,0,0,0,2,0,0,0,4,5,5,12,1,0,10,2,0,0,7,0,0,1,0,0,28,2,7,4,1,0,3,0,0,1,1,0
"Parque Gaúcho",9,19,2,13,0,1,24,1,0,2,108,30,37,78,15,2,63,18,4,1,29,1,1,11,0,13,2,157,7,19,13,2,15,7,5,20,10,0
"Parque Temático Mundo Gelado",8,63,0,4,0,0,23,0,0,3,20,22,24,61,4,0,51,15,9,0,43,0,0,8,0,11,7,7,216,13,7,1,9,5,0,13,10,0
"Pórtico via Nova Petrópolis",5,34,1,27,0,0,35,1,2,13,57,55,97,185,24,0,147,57,13,0,67,0,2,11,0,24,4,19,13,251,48,3,48,35,11,43,20,0
"Pórtico Via Taquara",6,12,3,17,0,0,16,2,3,6,31,27,46,74,12,1,56,27,6,1,29,1,2,10,0,14,1,13,7,48,110,4,20,17,9,24,14,0
"Praça das Etnias",1,0,3,1,0,0,1,3,0,0,4,1,5,6,0,2,3,2,2,1,3,1,3,2,0,4,0,2,1,3,4,16,4,2,4,1,2,0
"Praça Major Nicoletti",5,17,2,19,0,0,24,2,3,4,34,43,75,104,17,0,95,42,9,0,40,0,2,7,0,14,3,15,9,48,20,4,152,17,8,26,15,0
"Prefeitura Municipal de Gramado",5,10,0,15,0,0,15,0,3,4,19,25,52,82,8,0,65,21,4,0,25,0,0,4,0,11,0,7,5,35,17,2,17,127,8,22,12,0
"Rotula das Bandeiras",3,6,2,6,0,0,10,1,0,4,8,10,13,23,2,0,19,9,3,0,9,0,1,3,0,12,0,5,0,11,9,4,8,8,35,17,2,0
"Rua Coberta",8,32,1,28,0,1,41,2,1,6,33,46,78,165,17,1,130,23,11,0,53,0,1,12,0,34,1,20,13,43,24,1,26,22,17,294,14,0
"Snowland",4,32,0,18,1,0,28,0,1,4,45,44,45,121,27,0,135,17,5,0,59,0,0,8,0,9,1,10,10,20,14,2,15,12,2,14,390,0
"Vinícola Ravanello",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
