"","A Mina","A Rua Torta de Gramado","Alpen Park","Casa Centenária","Casa das Artes","Casa do Colono","Centro Municipal de Cultura","Cine -Teatro Elizabeth Rosenfeld","Dreamland Museu de Cera","Ervateira Marcon - Natural de Gramado","Fonte do Amor Eterno","Fragram - Museu do Perfume","GramadoZoo","Harley Motor Show","Igreja Matriz São Pedro Apóstolo","Lago Negro","Le Jardin Parque de Lavanda","Memorial Casa Italiana","Mini Mundo","Mirante do Belvedere","Mundo de Chocolate","Mundo Encantado","Museu de Artes Dr. Carlos Nelz","Museu do Automóvel - Hollywood Dream Cars","Museu do Sapato","Museu Fioreze","Museu Gramado - Minerais & Pedras Preciosas","Museu Naval","O Reino do Chocolate","Parque do Pinheiro Grosso","Parque Gaúcho","Parque Temático Mundo Gelado","Pórtico via Nova Petrópolis","Pórtico Via Taquara","Praça das Etnias","Praça Major Nicoletti","Prefeitura Municipal de Gramado","Rotula das Bandeiras","Rua Coberta","Snowland","Vinícola Ravanello"
"A Mina",127,0,17,3,1,23,3,2,26,2,20,4,24,23,31,57,25,1,50,18,2,11,2,25,1,3,12,3,28,5,13,18,35,23,12,16,14,8,16,45,1
"A Rua Torta de Gramado",0,3,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0
"Alpen Park",17,0,677,4,0,45,2,2,101,3,39,18,89,101,110,260,35,3,255,54,1,10,1,141,0,5,33,3,62,15,33,69,69,42,16,42,30,29,73,269,8
"Casa Centenária",3,0,4,25,1,2,1,0,7,7,4,3,4,2,6,11,4,0,11,2,1,3,1,7,0,8,7,0,5,0,1,3,8,6,6,3,3,0,3,6,0
"Casa das Artes",1,0,0,1,9,3,0,0,0,0,0,1,2,0,4,7,2,2,5,0,1,0,0,0,0,0,0,0,2,0,0,0,1,3,3,1,1,1,2,2,0
"Casa do Colono",23,0,45,2,3,691,3,3,76,5,71,19,94,111,226,385,95,13,330,90,5,13,4,119,2,5,28,4,51,5,28,21,112,56,40,89,60,31,81,208,12
"Centro Municipal de Cultura",3,0,2,1,0,3,16,4,4,2,2,4,3,3,3,8,3,1,8,3,1,4,1,8,0,1,5,0,5,1,3,2,7,5,4,3,4,3,4,6,1
"Cine -Teatro Elizabeth Rosenfeld",2,0,2,0,0,3,4,14,3,1,1,3,6,7,8,9,3,1,8,4,0,4,3,6,0,0,5,0,9,1,5,1,7,5,2,3,6,3,7,8,1
"Dreamland Museu de Cera",26,0,101,7,0,76,4,3,828,7,65,31,91,428,217,436,49,3,445,59,4,26,2,317,1,7,85,4,95,6,35,49,110,76,32,55,42,45,118,289,13
"Ervateira Marcon - Natural de Gramado",2,0,3,7,0,5,2,1,7,25,5,3,4,8,10,11,6,0,12,4,1,3,2,10,1,11,9,0,2,1,3,2,4,4,3,4,4,2,2,6,1
"Fonte do Amor Eterno",20,1,39,4,0,71,2,1,65,5,461,14,53,110,235,296,62,7,251,69,1,12,4,117,1,3,33,6,43,2,19,24,92,67,30,58,48,38,87,173,5
"Fragram - Museu do Perfume",4,0,18,3,1,19,4,3,31,3,14,116,23,28,37,69,24,5,61,25,1,11,3,34,0,3,33,1,24,3,11,9,29,22,17,20,12,16,29,33,2
