"","A Mina","A Rua Torta de Gramado","Aldeia do Papai Noel","Alpen Park","Casa Centenária","Casa das Artes","Casa do Colono","Casa Seganfredo","Central de Informações Turísticas de Gramado","Centro Municipal de Cultura","Cine -Teatro Elizabeth Rosenfeld","Dreamland Museu de Cera","Ervateira Marcon - Natural de Gramado","Fonte do Amor Eterno","Fragram - Museu do Perfume","Gram Bier","GramadoZoo","Harley Motor Show","Igreja Matriz São Pedro Apóstolo","Lago Negro","Le Jardin Parque de Lavanda","Memorial Casa Italiana","Mini Mundo","Mirante do Belvedere","Mundo de Chocolate","Mundo Encantado","Museu de Artes Dr. Carlos Nelz","Museu do Automóvel - Hollywood Dream Cars","Museu do Festival de Cinema de Gramado","Museu do Sapato","Museu Fioreze","Museu Gramado - Minerais & Pedras Preciosas","Museu Naval","O Reino do Chocolate","Parque do Pinheiro Grosso","Parque Gaúcho","Parque Temático Mundo Gelado","Pórtico via Nova Petrópolis","Pórtico Via Taquara","Praça da Criança","Praça das Etnias","Praça Major Nicoletti","Prefeitura Municipal de Gramado","Rotula das Bandeiras","Rua Coberta","Snowland","Vinícola Ravanello"
"A Mina",251,19,17,27,7,2,46,0,2,3,1,62,3,53,16,0,42,58,77,156,52,11,126,23,35,16,1,76,0,2,2,26,6,36,4,27,22,61,45,0,41,20,13,19,48,117,10
"A Rua Torta de Gramado",19,310,35,21,9,3,87,0,1,2,4,78,6,123,16,0,28,73,146,200,69,13,163,55,51,16,1,100,1,3,5,33,4,52,1,13,19,88,62,5,137,56,24,65,81,112,9
"Aldeia do Papai Noel",17,35,624,38,8,2,45,0,2,3,0,151,5,69,14,1,72,91,132,328,52,5,356,34,65,33,1,140,0,3,1,27,1,75,3,27,20,85,53,1,63,22,22,50,136,220,6
"Alpen Park",27,21,38,922,7,2,70,0,0,7,6,154,8,113,18,0,78,127,178,375,64,5,354,47,50,24,0,166,0,2,7,32,0,77,16,31,83,102,72,1,70,52,35,51,156,348,16
"Casa Centenária",7,9,8,7,76,3,18,0,3,3,1,30,25,18,12,0,17,22,34,51,16,7,44,11,12,6,0,35,0,1,18,22,3,13,2,7,0,27,14,1,27,13,7,18,29,23,5
"Casa das Artes",2,3,2,2,3,20,6,0,1,3,0,6,1,6,2,0,5,5,10,13,5,4,12,4,1,3,0,5,0,1,2,5,3,4,0,3,1,6,4,2,6,3,2,6,7,6,2
"Casa do Colono",46,87,45,70,18,6,1218,0,3,5,7,180,14,279,30,0,112,159,459,696,216,33,567,124,74,29,0,212,0,4,8,60,4,82,11,55,36,226,124,5,253,149,71,99,252,377,43
"Casa Seganfredo",0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Central de Informações Turísticas de Gramado",2,1,2,0,3,1,3,0,6,1,0,5,2,4,2,0,3,4,4,4,3,2,4,1,1,3,0,8,0,1,2,4,1,2,0,2,0,4,4,0,3,4,3,5,2,3,0
"Centro Municipal de Cultura",3,2,3,7,3,3,5,0,1,47,0,15,2,12,4,0,9,12,19,30,7,2,28,6,7,6,1,24,0,2,3,8,1,10,2,5,3,16,14,0,13,5,9,10,9,19,2
