"","A Mina","A Rua Torta de Gramado","Aldeia do Papai Noel","Alpen Park","Capela Cristo Ressuscitado","Caro Watson Escape Game","Casa Centenária","Casa das Artes","Casa do Colono","Casa Seganfredo","Central de Informações Turísticas de Gramado","Centro Municipal de Cultura","Cine -Teatro Elizabeth Rosenfeld","Colorio","Dreamland Museu de Cera","Ervateira Marcon - Natural de Gramado","Fonte do Amor Eterno","Fragram - Museu do Perfume","Galleria D'arte Giovanni Bocchi","Gram Bier","GramadoZoo","Harley Motor Show","Igreja Matriz São Pedro Apóstolo","Lago Negro","Le Jardin Parque de Lavanda","Memorial Casa Italiana","Mini Mundo","Mirante do Belvedere","Mundo de Chocolate","Mundo Encantado","Museu do Automóvel - Hollywood Dream Cars","Museu do Festival de Cinema de Gramado","Museu do Sapato","Museu Fioreze","Museu Gramado - Minerais & Pedras Preciosas","Museu Naval","O Reino do Chocolate","Parque do Pinheiro Grosso","Parque Gaúcho","Parque Temático Mundo Gelado","Pórtico via Nova Petrópolis","Pórtico Via Taquara","Praça da Criança","Praça das Etnias","Praça Major Nicoletti","Prefeitura Municipal de Gramado","Rotula das Bandeiras","Rua Coberta","Snowland","Vinicola Masotti","Vinícola Ravanello"
"A Mina",408,52,77,48,0,0,10,1,68,0,5,5,3,0,87,10,91,23,0,4,57,83,129,248,109,10,182,49,88,16,100,2,1,2,13,4,48,6,31,32,89,55,2,60,33,20,45,148,186,1,16
"A Rua Torta de Gramado",52,680,109,55,0,0,14,2,158,0,16,7,2,0,147,20,269,38,1,14,46,132,302,456,150,20,350,121,142,27,151,5,2,1,26,3,107,8,26,23,200,117,1,206,116,51,135,381,252,1,21
"Aldeia do Papai Noel",77,109,1595,136,0,1,19,1,145,0,9,7,3,1,282,15,204,34,0,14,171,215,376,877,194,10,936,76,180,58,238,8,0,4,35,2,127,9,47,51,167,87,2,134,62,43,74,574,609,2,18
"Alpen Park",48,55,136,1058,0,0,8,1,74,0,3,3,4,0,152,8,133,17,0,13,101,118,182,459,113,2,347,42,99,18,125,1,0,3,21,0,79,20,45,81,107,49,2,58,39,15,42,295,427,1,16
"Capela Cristo Ressuscitado",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Caro Watson Escape Game",0,0,1,0,0,49,0,0,0,0,0,0,0,0,2,0,0,0,0,1,1,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
"Casa Centenária",10,14,19,8,0,0,96,0,18,0,0,1,0,0,30,33,22,12,0,1,13,30,43,58,13,5,51,14,23,5,42,0,0,23,23,0,13,2,7,3,25,17,0,20,7,8,15,44,27,0,2
"Casa das Artes",1,2,1,1,0,0,0,6,2,0,0,0,0,0,2,0,2,0,0,1,1,1,4,6,3,1,2,1,1,2,1,0,0,0,2,0,2,0,1,0,2,2,0,2,1,1,4,6,3,0,0
"Casa do Colono",68,158,145,74,0,0,18,2,1017,0,11,5,4,0,171,20,268,32,0,18,81,140,418,662,241,25,444,109,141,28,169,4,1,3,30,3,91,11,30,30,205,91,1,197,93,42,105,480,309,1,41
"Casa Seganfredo",0,0,0,0,0,0,0,0,0,6,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
"Central de Informações Turísticas de Gramado",5,16,9,3,0,0,0,0,11,0,38,1,0,0,8,2,14,1,1,1,2,7,17,25,7,1,17,5,8,1,9,2,0,0,1,0,3,0,2,0,11,9,0,14,7,6,11,24,14,0,0
"Centro Municipal de Cultura",5,7,7,3,0,0,1,0,5,0,1,26,1,0,7,1,4,2,0,1,4,5,9,17,4,1,13,5,7,2,10,1,0,0,2,0,7,2,2,3,15,9,0,9,5,5,8,10,10,0,0
"Cine -Teatro Elizabeth Rosenfeld",3,2,3,4,0,0,0,0,4,0,0,1,17,0,6,0,3,2,0,1,3,5,8,11,4,1,7,1,5,2,8,0,0,0,0,1,2,1,0,1,7,3,1,6,3,1,4,11,7,0,0
"Colorio",0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
"Dreamland Museu de Cera",87,147,282,152,0,2,30,2,171,1,8,7,6,0,1962,25,382,61,2,20,162,1049,558,1159,216,13,1030,109,232,52,865,4,0,9,126,2,168,19,57,77,286,130,2,180,79,48,125,749,828,0,32
"Ervateira Marcon - Natural de Gramado",10,20,15,8,0,0,33,0,20,0,2,1,0,0,25,88,24,8,0,1,11,27,33,49,16,3,44,9,17,3,32,0,0,14,11,0,14,2,5,2,16,11,0,20,10,7,15,35,25,1,2
