"","A Mina","A Rua Torta de Gramado","Aldeia do Papai Noel","Alpen Park","Capela Cristo Ressuscitado","Caro Watson Escape Game","Casa Centenária","Casa das Artes","Casa do Colono","Casa Seganfredo","Central de Informações Turísticas de Gramado","Centro Municipal de Cultura","Chave-Mestra Escape Game Gramado","Cine -Teatro Elizabeth Rosenfeld","Colorio","Dreamland Museu de Cera","Ervateira Marcon - Natural de Gramado","Fonte do Amor Eterno","Fragram - Museu do Perfume","Galeria Arte12b","Galleria D'arte Giovanni Bocchi","Gram Bier","GramadoZoo","Harley Motor Show","Igreja Matriz São Pedro Apóstolo","Igreja Metodista","Lago Negro","Le Jardin Parque de Lavanda","Memorial Casa Italiana","Mini Mundo","Mirante do Belvedere","Mundo de Chocolate","Mundo Encantado","Museu do Automóvel - Hollywood Dream Cars","Museu do Festival de Cinema de Gramado","Museu do Sapato","Museu Fioreze","Museu Gramado - Minerais & Pedras Preciosas","Museu Naval","O Reino do Chocolate","Parque do Palácio","Parque do Pinheiro Grosso","Parque Gaúcho","Parque Municipal Caminho da Santinha","Parque Temático Mundo Gelado","Pórtico via Nova Petrópolis","Pórtico Via Taquara","Praça da Criança","Praça das Etnias","Praça Major Nicoletti","Prefeitura Municipal de Gramado","Rotula das Bandeiras","Rua Coberta","Snowland","Vinicola Masotti","Vinícola Ravanello"
"A Mina",244,44,32,23,0,1,5,0,28,0,4,0,5,0,0,45,1,55,12,0,0,4,20,31,67,0,129,67,3,100,21,31,9,33,7,1,1,5,2,28,0,1,13,0,20,55,34,0,34,19,7,18,107,76,2,9
"A Rua Torta de Gramado",44,468,63,39,1,3,7,2,90,1,15,1,6,1,0,98,3,177,26,0,0,7,40,73,199,0,309,99,16,204,65,85,12,83,22,1,1,20,2,64,1,3,30,0,17,129,74,3,147,62,24,61,321,131,1,10
"Aldeia do Papai Noel",32,63,919,68,0,10,3,1,58,0,6,2,9,0,0,144,3,116,20,0,1,7,108,104,190,0,466,140,6,476,31,82,22,109,12,0,2,15,1,93,0,2,34,0,27,82,48,7,79,27,17,22,383,302,4,15
"Alpen Park",23,39,68,574,1,7,2,1,35,0,3,2,7,0,0,77,2,53,7,0,1,6,44,56,84,0,230,62,2,177,15,47,12,46,7,0,1,9,2,45,1,2,26,0,35,35,15,3,25,10,4,10,167,156,2,9
"Capela Cristo Ressuscitado",0,1,0,1,2,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,1,0,0,1,0,1,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1,0,0
"Caro Watson Escape Game",1,3,10,7,0,368,0,0,4,0,0,0,15,1,0,8,0,5,1,0,0,1,6,6,7,0,30,9,0,26,1,1,1,6,0,0,0,0,0,1,1,1,2,0,2,5,1,0,1,1,0,1,15,30,0,1
"Casa Centenária",5,7,3,2,0,0,36,0,6,0,0,0,1,0,0,6,7,13,4,0,0,0,1,5,17,0,22,7,0,12,2,3,1,7,1,0,1,3,0,4,0,0,0,0,0,8,2,0,10,5,0,5,25,7,0,0
"Casa das Artes",0,2,1,1,0,0,0,6,1,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,3,2,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,2,0,0
"Casa do Colono",28,90,58,35,0,4,6,1,576,4,7,1,6,0,0,70,3,148,23,0,1,12,40,44,203,0,340,125,15,189,40,57,6,47,16,1,1,8,0,43,0,0,25,0,11,77,38,2,105,37,9,38,270,118,3,15
"Casa Seganfredo",0,1,0,0,0,0,0,0,4,103,0,0,0,0,0,1,1,4,0,0,0,2,1,1,4,0,17,9,0,7,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,3,1,0,0,13,6,0,4
