"","A Mina","A Rua Torta de Gramado","Adega Dom Carlo","Aldeia do Papai Noel","Alpen Park","Caminho das Estrelas","Caro Watson Escape Game","Casa Centenária","Casa das Artes","Casa do Colono","Casa Seganfredo","Cascata Véu de Noiva","Central de Informações Turísticas de Gramado","Centro de Informações Turísticas","Centro Municipal de Cultura","Chave-Mestra Escape Game Gramado","Cine -Teatro Elizabeth Rosenfeld","Clube da Crianca","Colorio","Dreamland Museu de Cera","Ervateira Marcon - Natural de Gramado","Estátua do Maestro Eleazar de Carvalho","Fonte do Amor Eterno","Fragram - Museu do Perfume","Galeria Arte12b","Galleria D'arte Giovanni Bocchi","Gram Bier","GramadoZoo","Harley Motor Show","Igreja Matriz São Pedro Apóstolo","Igreja Metodista","Lago Negro","Le Jardin Parque de Lavanda","Memorial Casa Italiana","Mini Mundo","Mirante do Belvedere","Mundo de Chocolate","Mundo Encantado","Museu do Automóvel - Hollywood Dream Cars","Museu do Festival de Cinema de Gramado","Museu Fioreze","Museu Gramado - Minerais & Pedras Preciosas","Museu Naval","O Reino do Chocolate","Parque do Palácio","Parque do Pinheiro Grosso","Parque Gaúcho","Parque Olivas de Gramado","Parque Temático Mundo Gelado","Pórtico via Nova Petrópolis","Pórtico Via Taquara","Praça da Criança","Praça das Etnias","Praça do Moínho","Praça Major Nicoletti","Prefeitura Municipal de Gramado","Rotula das Bandeiras","Rua Coberta","Snowland","Trem Maria Fumaça","Vila Olímpica Eduardo Tissott","Vinicola Masotti","Vinícola Ravanello","Vinícola Stopassola"
"A Mina",192,36,0,19,11,1,1,3,0,26,1,0,3,0,0,10,1,0,0,20,2,0,29,9,0,0,1,17,22,51,0,88,53,1,66,6,19,14,19,2,0,3,0,13,1,1,12,0,14,24,15,0,24,0,7,1,3,82,37,0,0,1,6,0
"A Rua Torta de Gramado",36,362,0,31,23,2,4,4,0,61,7,2,9,0,1,9,2,0,0,40,3,1,114,10,0,0,4,22,44,147,0,233,95,6,160,30,55,18,37,18,2,9,0,39,0,1,12,0,11,87,43,0,105,2,35,11,17,253,101,1,0,3,11,0
"Adega Dom Carlo",0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Aldeia do Papai Noel",19,31,0,565,27,0,5,4,0,30,5,0,5,0,1,8,0,0,0,42,2,1,40,2,0,0,3,51,44,99,1,248,76,5,252,7,40,8,36,6,1,8,1,26,0,0,13,0,8,34,17,3,26,1,12,4,7,208,157,2,0,4,10,0
"Alpen Park",11,23,0,27,344,0,3,1,0,20,2,0,2,0,0,12,0,0,0,30,2,0,28,2,0,0,5,25,25,43,1,99,36,0,95,3,25,3,20,5,1,1,0,14,0,0,15,0,20,11,8,0,7,0,1,2,1,83,102,0,0,1,5,0
"Caminho das Estrelas",1,2,0,0,0,7,0,0,0,2,0,1,1,1,0,0,2,0,0,1,0,3,2,0,0,0,0,0,1,4,1,3,2,1,4,2,3,0,0,1,0,0,0,1,0,1,0,0,0,3,1,0,4,0,2,2,1,5,2,0,1,0,0,0
"Caro Watson Escape Game",1,4,0,5,3,0,200,0,0,2,0,0,0,0,0,12,0,0,0,2,2,0,3,0,0,0,2,2,2,5,0,21,6,0,21,0,3,2,2,1,0,0,0,2,0,0,0,0,1,4,1,0,2,0,0,0,0,18,19,0,0,0,2,0
"Casa Centenária",3,4,0,4,1,0,0,16,0,1,0,0,0,0,0,0,0,0,0,5,6,0,4,0,0,0,0,1,4,6,0,9,1,0,6,0,4,0,3,0,3,3,0,1,0,0,1,0,0,2,0,0,5,0,0,0,0,7,3,0,0,1,0,0
"Casa das Artes",0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Casa do Colono",26,61,0,30,20,2,2,1,0,385,2,0,6,0,2,6,2,0,0,43,2,0,75,14,0,0,7,20,25,128,0,208,94,5,137,12,24,7,21,9,1,3,0,20,0,1,10,0,7,44,19,1,56,0,17,6,5,176,65,0,0,2,7,0
"Casa Seganfredo",1,7,0,5,2,0,0,0,0,2,122,0,0,0,0,0,0,0,0,5,0,0,10,0,0,0,4,0,1,17,0,32,20,0,14,2,5,1,1,0,0,0,0,1,0,0,0,0,1,4,1,0,4,0,0,0,0,25,11,0,0,0,4,0
"Cascata Véu de Noiva",0,2,0,0,0,1,0,0,0,0,0,10,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,2,2,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,0,0,0,0,4,1,0,1,0,0,0
"Central de Informações Turísticas de Gramado",3,9,0,5,2,1,0,0,0,6,0,0,24,0,1,0,1,0,0,2,0,1,7,3,0,0,1,0,2,13,0,18,8,3,9,6,7,0,3,5,0,0,0,4,0,1,0,0,1,10,5,0,8,1,6,5,2,19,3,0,0,1,1,0
"Centro de Informações Turísticas",0,0,0,0,0,1,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"Centro Municipal de Cultura",0,1,0,1,0,0,0,0,0,2,0,0,1,0,4,0,0,0,0,1,0,0,1,3,0,0,0,0,0,2,1,2,1,0,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,2,1,0,2,0,1,2,1,2,0,1,0,0,0,0
"Chave-Mestra Escape Game Gramado",10,9,0,8,12,0,12,0,0,6,0,0,0,0,0,334,0,0,0,15,1,0,12,2,0,0,4,11,8,15,0,44,17,0,33,0,19,5,8,0,0,3,0,9,0,0,4,0,7,5,2,1,7,0,2,0,2,36,44,0,0,1,2,0
"Cine -Teatro Elizabeth Rosenfeld",1,2,0,0,0,2,0,0,0,2,0,0,1,0,0,0,4,0,0,1,0,0,1,0,0,0,0,0,0,2,0,2,2,0,2,1,1,0,0,1,0,0,0,1,0,1,0,0,0,2,1,0,2,0,2,2,1,4,0,0,0,0,0,0
"Clube da Crianca",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Colorio",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
