"","A Mina","A Rua Torta de Gramado","Adega Dom Carlo","Aldeia do Papai Noel","Alpen Park","Caminho das Estrelas","Caro Watson Escape Game","Casa Centenária","Casa do Colono","Casa Seganfredo","Cascata Véu de Noiva","Central de Informações Turísticas de Gramado","Centro Municipal de Cultura","Chave-Mestra Escape Game Gramado","Dreamland Museu de Cera","Ervateira Marcon - Natural de Gramado","Estátua do Maestro Eleazar de Carvalho","Fonte do Amor Eterno","Fragram - Museu do Perfume","Galeria Arte12b","Galleria D'arte Giovanni Bocchi","Gram Bier","GramadoZoo","Harley Motor Show","Igreja Matriz São Pedro Apóstolo","Lago Negro","Le Jardin Parque de Lavanda","Memorial Casa Italiana","Mini Mundo","Mirante do Belvedere","Mundo de Chocolate","Mundo Encantado","Museu do Automóvel - Hollywood Dream Cars","Museu do Festival de Cinema de Gramado","Museu Fioreze","Museu Gramado - Minerais & Pedras Preciosas","O Reino do Chocolate","Parque do Palácio","Parque Gaúcho","Parque Olivas de Gramado","Parque Temático Mundo Gelado","Pórtico via Nova Petrópolis","Pórtico Via Taquara","Praça da Criança","Praça das Etnias","Praça Major Nicoletti","Prefeitura Municipal de Gramado","Rotula das Bandeiras","Rua Coberta","Snowland","Trem Maria Fumaça","Vinicola Masotti","Vinícola Ravanello","Vinícola Stopassola"
"A Mina",16,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,1,0,0,0,2,0,2,3,4,0,5,0,1,0,0,0,1,0,1,1,1,0,0,1,1,0,2,1,0,0,4,3,0,0,0,0
"A Rua Torta de Gramado",2,39,0,2,7,1,1,1,5,0,0,2,1,0,4,1,0,15,2,0,0,0,1,1,13,19,7,0,10,6,8,1,2,1,1,1,5,0,1,0,1,11,7,1,14,5,3,2,24,12,1,0,1,0
"Adega Dom Carlo",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Aldeia do Papai Noel",0,2,0,47,5,1,3,0,3,2,0,0,0,2,3,0,0,4,1,0,0,0,7,4,7,15,6,0,25,1,5,0,3,0,0,0,3,0,1,0,0,3,1,0,5,1,1,1,17,14,0,0,0,0
"Alpen Park",0,7,0,5,56,1,0,0,1,0,0,1,0,2,4,0,0,5,2,0,0,0,3,5,6,15,6,0,13,1,6,1,6,0,0,0,3,0,1,0,3,6,2,1,4,2,1,1,9,22,0,0,0,0
"Caminho das Estrelas",0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0
"Caro Watson Escape Game",0,1,0,3,0,0,28,0,0,2,0,0,0,3,1,0,0,1,1,0,0,0,1,2,1,5,3,0,7,0,1,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,4,5,0,0,0,0
"Casa Centenária",1,1,0,0,0,0,0,4,1,0,0,0,0,0,0,2,0,4,1,0,0,0,2,0,0,2,1,0,2,2,0,0,0,1,3,2,0,0,2,0,0,0,0,0,2,1,0,1,2,1,0,0,0,0
"Casa do Colono",0,5,0,3,1,0,0,1,39,1,0,1,0,0,3,1,0,9,0,0,0,1,5,0,10,17,5,0,10,2,4,1,0,0,1,1,1,0,3,0,0,4,3,0,8,3,1,1,15,7,0,0,1,0
"Casa Seganfredo",0,0,0,2,0,0,2,0,1,16,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,3,2,0,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,3,2,0,0,2,0
"Cascata Véu de Noiva",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"Central de Informações Turísticas de Gramado",0,2,0,0,1,0,0,0,1,0,0,5,0,0,0,0,0,2,1,0,0,0,0,1,2,1,0,0,0,0,1,1,1,0,0,0,1,0,0,0,1,1,0,1,2,1,0,2,2,0,0,0,1,0
"Centro Municipal de Cultura",0,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,0,1,2,0,0,0,0
"Chave-Mestra Escape Game Gramado",0,0,0,2,2,0,3,0,0,0,0,0,0,45,2,0,0,2,0,0,0,0,3,1,1,7,0,0,5,0,3,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,9,0,0,0,0
"Dreamland Museu de Cera",0,4,0,3,4,0,1,0,3,0,0,0,0,2,65,1,0,12,0,0,0,0,5,18,16,31,6,0,20,1,3,0,14,1,0,0,4,0,1,0,3,4,0,0,2,1,0,0,19,21,0,0,0,0
"Ervateira Marcon - Natural de Gramado",0,1,0,0,0,0,0,2,1,0,0,0,0,0,1,4,0,2,1,0,0,0,1,0,0,2,0,0,2,2,0,0,0,1,3,2,0,0,1,0,0,0,0,0,2,1,0,1,2,1,0,0,0,0
"Estátua do Maestro Eleazar de Carvalho",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Fonte do Amor Eterno",2,15,0,4,5,0,1,4,9,1,0,2,0,2,12,2,0,56,3,0,0,0,6,9,26,37,13,0,25,4,7,0,7,2,3,2,5,0,2,0,1,6,3,1,13,4,1,3,35,20,0,0,1,0
