"","2011","2012","2013","2014","2015","2016","2017","2018"
"Alpen Park",0.00484848484848485,0.0190236892457306,0.00405917173283659,0.00131130745229922,0.000718065910409038,0.00222028880041115,0.0102205080484899,0.00596082245271147
"Dreamland Museu de Cera",0.00333333333333333,0.00703422943018386,0.00326258644381763,0.00218264625842064,0.00541709130560952,0.00900550947574967,0.00782571472033921,0.00792856599525494
"Fragram - Museu do Perfume",0.00208333333333333,0.00451123316735965,0.000538870851370851,0.00251507730931985,0.00236387623711406,0.00134394952942785,0.0020722450725508,0.00672421115146808
"GramadoZoo",0.0102386964886965,0.0190236892457306,0.0156778974575842,0.00347799120701636,0.00268069332141624,0.00597636510963264,0.00531024760535748,0.00408492300005016
"Harley Motor Show",0.0168689874939875,0.00703422943018386,0.00451998970876733,0.00218264625842064,0.00228840181328366,0.00552491749036193,0.00687641333248621,0.00839311622940992
"Igreja Matriz São Pedro Apóstolo",0.0295277176527177,0.0190236892457306,0.0156778974575842,0.00875882148784664,0.00395211970647899,0.00384434931669393,0.0165056599839154,0.0102085073715175
"Lago Negro",0.0173650192400192,0.0190236892457306,0.0156778974575842,0.00875882148784664,0.00745833709685531,0.0112279668298212,0.0142973073343863,0.0177155319373656
"Mini Mundo",0.0173650192400192,0.0190236892457306,0.00451998970876733,0.00875882148784664,0.00745833709685531,0.00632730166088586,0.0105819856712132,0.0196773597002987
"Mirante do Belvedere",0.00151515151515152,0.00275342020866318,0.00451998970876733,0.00218264625842064,0.00268069332141624,0.00556101725390929,0.00878054494054017,0.00347884478183494
"Mundo Encantado",0.00419973544973545,0.00275342020866318,0.00217665782064055,0.00131130745229922,0.00203892479632155,0.0021343945028905,0.00389330175898202,0.00190563707344144
"Museu do Automóvel - Hollywood Dream Cars",0.0168689874939875,0.00703422943018386,0.0156778974575842,0.00218264625842064,0.00412762740250925,0.0102714044292633,0.00821255522828699,0.00757650867806094
