"","2011","2012","2013","2014","2015","2016","2017","2018"
"Alpen Park",-0.95656631157451,-0.85774917617396,-0.0862971565532489,-0.895325309005983,-1.04635395292497,-0.575254019366623,-0.998433630778375,-0.846475412439485
"Dreamland Museu de Cera",-0.849966403021433,-0.220061516566882,-0.109857758593277,-0.895325309005994,-1.0790935196116,-1.47866029472751,-0.955077562555301,0.0361626476236219
"Fragram - Museu do Perfume",-0.984643713685887,-0.592142413760477,0.33873465618525,-1.18020919774369,-0.968922279332878,-0.207595774786876,-0.769940381948658,0.377600218772036
"GramadoZoo",-1.07557492434929,-0.475592836958693,-0.483576470708102,-1.18020919774368,-0.968922279332885,-1.68033690829002,-1.11535046147095,-1.44102847009663
"Harley Motor Show",-1.0848147137242,-0.765793874742128,0.0267981931708552,-0.895325309005993,-0.574462468325696,-0.374437880615602,-0.769040202893811,-0.749342342684742
"Igreja Matriz São Pedro Apóstolo",-1.01469658402188,-0.857749176173966,-0.400121114972381,-0.1276696202081,-1.39419885707847,-0.408769242627084,-1.11867004729396,-0.794089331180773
"Lago Negro",-0.960115244951002,-1.71282840183706,-1.36454919027241,-0.12766962020809,-1.15844799315191,-1.51299165673898,-1.11867004729393,0.310717746659401
"Mini Mundo",-1.11782607542361,-1.73445072681063,-0.832731365871134,-0.127669620208082,-1.15844799315192,-0.342527701418022,-1.08118364746575,0.310717746659421
"Mirante do Belvedere",-0.752713065909459,-0.116551406134448,0.0267981931708579,-0.895325309005994,-0.968922279332881,-0.575254019366622,-0.954489105214547,-1.09386594367999
"Mundo Encantado",-1.21491609878729,-0.185317183275405,0.758254301995594,-0.895325309005991,-0.574462468325712,-0.0873955961714756,-0.795718608322511,-0.184541218231058
"Museu do Automóvel - Hollywood Dream Cars",-1.24252554419681,-0.918289615081337,-0.483576470708101,-0.895325309005992,-0.653816941866025,-1.47866029472751,-0.83816073186281,-0.74934234268474
"O Reino do Chocolate",-0.752713065909457,0.213587124131655,1.01618215985125,-0.127669620208089,-1.07909351961159,-0.408769242627078,-0.768451745553069,-1.06851400558353
"Parque Gaúcho",-1.02163427767558,-0.773759887453531,-0.614218702477607,-0.895325309005986,-0.496926859601292,-0.534296617720901,-0.928891631766551,-1.34211273544044
"Pórtico via Nova Petrópolis",-1.17240741449449,-0.0410414976671014,0.0267981931708566,-1.18020919774368,-0.653816941866024,-0.440679421824674,-1.27711199678212,-0.794089331180805
"Pórtico Via Taquara",-1.01469658402188,0.11580962948154,-0.483576470708103,-1.18020919774369,-1.15844799315194,-0.408769242627082,-1.27711199678212,-0.221601121193266
"Praça Major Nicoletti",-0.84996640302143,0.693395454014269,0.0267981931708592,-0.291971542713285,-0.968922279332912,-0.408769242627087,-0.974821305043234,-0.575132281696884
"Rotula das Bandeiras",-1.17768998612216,-0.362516898020388,1.02714502931891,-0.179028322342161,-0.653816941866024,-0.408769242627087,-1.07008684461179,0.347794645357597
"Rua Coberta",-0.3847577690451,-0.241683841540449,0.148070099262387,-1.18020919774368,-1.47355333061881,-1.51299165673896,-1.11867004729394,0.310717746659401
"A Mina",,-2.05582608232134,-0.645886290298192,-1.18020919774367,-0.574462468325624,-0.408769242627068,-0.872327545867918,-1.66005210543839
"Casa do Colono",,-0.325289046687113,0.796070852351393,-1.18020919774368,-0.889567805792572,-0.408769242627076,-1.0139014948525,-0.794089331180803
"Centro Municipal de Cultura",,-2.33169198661686,-2.82364137470071,-0.597414220412523,-0.102467048594103,-0.603373020128449,-1.40460721027046,1.45341443891379
"Cine -Teatro Elizabeth Rosenfeld",,-1.01891633908293,0.00531336963243316,-1.01708599954977,-2.22470552391966,-0.756062646537455,-1.03624771300815,-1.46646501794787
"Ervateira Marcon - Natural de Gramado",,0.313345129672814,0.164915157717665,-0.153938333430761,-0.165477722574257,-0.301212970683119,-1.15812253223071,-0.626442711528788
"Le Jardin Parque de Lavanda",,0.858143638680981,-0.758981640022271,-1.34451112024888,-1.47355333061878,-0.408769242627079,-1.11867004729396,-1.0059306160499
"Museu Fioreze",,-0.133868077459611,0.0319274281683127,-0.0862152639102919,-0.165477722574243,-0.0792689796621896,-0.550963107074617,0.126573825355954
"Museu Gramado - Minerais & Pedras Preciosas",,-1.55597639578228,-1.55720361725532,0.157214268529601,-0.417572386060959,-0.39886154536747,-0.539524739927437,-0.169272233487805
"Parque do Pinheiro Grosso",,-1.92598955157726,-2.84938887934132,-0.707219278656248,-0.438801136841056,-0.343030847140316,-1.48190059250803,-1.64804047420841
"Parque Temático Mundo Gelado",,-1.00585017865463,-1.28404978676795,-0.451849422024213,-1.565003255185,-0.39223626209958,-0.747630940342094,1.12445279775913
"Praça das Etnias",,-0.418629007795614,0.0942333515975673,-1.34451112024887,-0.968922279332908,-1.51299165673897,-1.23742525434218,-0.794089331180797
"Prefeitura Municipal de Gramado",,0.419884455554525,0.222225770290679,-1.18020919774368,-0.889567805792576,-0.440679421824675,-0.889038622863983,-1.16100505138293
"Casa Centenária",,,1.08605277179697,-0.544172621001988,-0.637473142305884,-0.333123149880704,-0.714784315161943,-1.60535538658692
"Fonte do Amor Eterno",,,0.397240064940943,0.157214268529593,-1.39419885707847,-0.40876924262708,-1.11867004729396,-0.794089331180803
