"","2011","2012","2013","2014","2015","2016","2017","2018"
"Alpen Park",0.533333333333333,0.338235294117647,0.370786516853933,0.347826086956522,0.290322580645161,0.394957983193277,0.421487603305785,0.428571428571429
"Dreamland Museu de Cera",0.551724137931034,0.396551724137931,0.379310344827586,0.341880341880342,0.348837209302326,0.286585365853659,0.432203389830508,0.377777777777778
"Fragram - Museu do Perfume",0.666666666666667,0.418181818181818,0.34020618556701,0.36036036036036,0.409090909090909,0.353383458646617,0.411290322580645,0.418032786885246
"GramadoZoo",0.5,0.258426966292135,0.402439024390244,0.36036036036036,0.348837209302326,0.388429752066116,0.432203389830508,0.395348837209302
"Harley Motor Show",0.571428571428571,0.242105263157895,0.407407407407407,0.404040404040404,0.314685314685315,0.385245901639344,0.439655172413793,0.435897435897436
"Igreja Matriz São Pedro Apóstolo",0.516129032258065,0.383333333333333,0.370786516853933,0.32258064516129,0.276073619631902,0.330985915492958,0.451327433628319,0.418032786885246
"Lago Negro",0.457142857142857,0.185483870967742,0.362637362637363,0.305343511450382,0.346153846153846,0.343065693430657,0.411290322580645,0.418032786885246
"Mini Mundo",0.484848484848485,0.20353982300885,0.221476510067114,0.236686390532544,0.343511450381679,0.340579710144928,0.372262773722628,0.418032786885246
"Mirante do Belvedere",0.484848484848485,0.383333333333333,0.383720930232558,0.4,0.375,0.451923076923077,0.472222222222222,0.401574803149606
"Mundo Encantado",0.571428571428571,0.365079365079365,0.383720930232558,0.32520325203252,0.335820895522388,0.388429752066116,0.459459459459459,0.3984375
"Museu do Automóvel - Hollywood Dream Cars",0.5,0.205357142857143,0.434210526315789,0.261437908496732,0.333333333333333,0.388429752066116,0.425,0.404761904761905
"O Reino do Chocolate",0.533333333333333,0.323943661971831,0.351063829787234,0.283687943262411,0.316901408450704,0.398305084745763,0.418032786885246,0.476635514018692
"Parque Gaúcho",0.666666666666667,0.353846153846154,0.4125,0.310077519379845,0.326086956521739,0.412280701754386,0.401574803149606,0.380597014925373
"Pórtico via Nova Petrópolis",0.571428571428571,0.389830508474576,0.362637362637363,0.396039603960396,0.316901408450704,0.274853801169591,0.463636363636364,0.447368421052632
"Pórtico Via Taquara",0.551724137931034,0.410714285714286,0.388235294117647,0.357142857142857,0.348837209302326,0.401709401709402,0.5,0.447368421052632
"Praça Major Nicoletti",0.372093023255814,0.338235294117647,0.270491803278689,0.341880341880342,0.290322580645161,0.385245901639344,0.425,0.463636363636364
"Rotula das Bandeiras",0.888888888888889,0.306666666666667,0.354838709677419,0.465116279069767,0.348837209302326,0.379032258064516,0.476635514018692,0.455357142857143
"Casa do Colono",,0.365079365079365,0.452054794520548,0.277777777777778,0.180722891566265,0.408695652173913,0.418032786885246,0.428571428571429
"Centro Municipal de Cultura",,0.410714285714286,,0.384615384615385,0.36,0.3671875,0.425,0.472222222222222
"Le Jardin Parque de Lavanda",,0.450980392156863,0.347368421052632,0.353982300884956,0.3515625,0.388429752066116,0.380597014925373,0.459459459459459
"Museu Gramado - Minerais & Pedras Preciosas",,0.343283582089552,0.375,0.434782608695652,0.294117647058824,0.364341085271318,0.421487603305785,0.392307692307692
"Parque do Pinheiro Grosso",,0.450980392156863,0.366666666666667,0.396039603960396,0.328467153284672,0.388429752066116,0.455357142857143,0.490384615384615
