A1;Alpen Park
A2;Dreamland Museu de Cera
A3;Fragram - Museu do Perfume
A4;GramadoZoo
A5;Harley Motor Show
A6;Igreja Matriz São Pedro Apóstolo
A7;Lago Negro
A8;Mini Mundo
A9;Mirante do Belvedere
A10;Mundo Encantado
A11;Museu do Automóvel - Hollywood Dream Cars
A12;O Reino do Chocolate
A13;Parque do Pinheiro Grosso
A14;Parque Gaúcho
A15;Pórtico via Nova Petrópolis
A16;Pórtico Via Taquara
A17;Praça Major Nicoletti
A18;Rotula das Bandeiras
A19;Rua Coberta
A20;A Mina
A21;A Rua Torta de Gramado
A22;Casa Centenária
A23;Casa das Artes
A24;Casa do Colono
A25;Centro Municipal de Cultura
A26;Cine -Teatro Elizabeth Rosenfeld
A27;Ervateira Marcon - Natural de Gramado
A28;Fonte do Amor Eterno
A29;Le Jardin Parque de Lavanda
A30;Memorial Casa Italiana
A31;Mundo de Chocolate
A32;Museu de Artes Dr. Carlos Nelz
A33;Museu do Sapato
A34;Museu Fioreze
A35;Museu Gramado - Minerais & Pedras Preciosas
A36;Museu Naval
A37;Parque Temático Mundo Gelado
A38;Praça das Etnias
A39;Prefeitura Municipal de Gramado
A40;Snowland
A41;Vinícola Ravanello
A42;Aldeia do Papai Noel
A43;Casa Seganfredo
A44;Central de Informações Turísticas de Gramado
A45;Gram Bier
A46;Museu do Festival de Cinema de Gramado
A47;Praça da Criança
A48;Capela Cristo Ressuscitado
A49;Caro Watson Escape Game
A50;Colorio
A51;Galleria D'arte Giovanni Bocchi
A52;Vinicola Masotti
A53;Chave-Mestra Escape Game Gramado
A54;Galeria Arte12b
A55;Igreja Metodista
A56;Parque do Palácio
A57;Parque Municipal Caminho da Santinha
A58;Adega Dom Carlo
A59;Caminho das Estrelas
A60;Cascata Véu de Noiva
A61;Centro de Informações Turísticas
A62;Clube da Crianca
A63;Estátua do Maestro Eleazar de Carvalho
A64;Parque Olivas de Gramado
A65;Praça do Moínho
A66;Trem Maria Fumaça
A67;Vila Olímpica Eduardo Tissott
A68;Vinícola Stopassola
