"","A Mina","A Rua Torta de Gramado","Adega Dom Carlo","Aldeia do Papai Noel","Alpen Park","Caminho das Estrelas","Capela Cristo Ressuscitado","Caro Watson Escape Game","Casa Centenária","Casa das Artes","Casa do Colono","Casa Seganfredo","Cascata Véu de Noiva","Central de Informações Turísticas de Gramado","Centro de Informações Turísticas","Centro Municipal de Cultura","Chave-Mestra Escape Game Gramado","Cine -Teatro Elizabeth Rosenfeld","Clube da Crianca","Colorio","Dreamland Museu de Cera","Ervateira Marcon - Natural de Gramado","Estátua do Maestro Eleazar de Carvalho","Fonte do Amor Eterno","Fragram - Museu do Perfume","Galeria Arte12b","Galleria D'arte Giovanni Bocchi","Gram Bier","GramadoZoo","Harley Motor Show","Igreja Matriz São Pedro Apóstolo","Igreja Metodista","Lago Negro","Le Jardin Parque de Lavanda","Memorial Casa Italiana","Mini Mundo","Mirante do Belvedere","Mundo de Chocolate","Mundo Encantado","Museu de Artes Dr. Carlos Nelz","Museu do Automóvel - Hollywood Dream Cars","Museu do Festival de Cinema de Gramado","Museu do Sapato","Museu Fioreze","Museu Gramado - Minerais & Pedras Preciosas","Museu Naval","O Reino do Chocolate","Parque do Palácio","Parque do Pinheiro Grosso","Parque Gaúcho","Parque Municipal Caminho da Santinha","Parque Olivas de Gramado","Parque Temático Mundo Gelado","Pórtico via Nova Petrópolis","Pórtico Via Taquara","Praça da Criança","Praça das Etnias","Praça do Moínho","Praça Major Nicoletti","Prefeitura Municipal de Gramado","Rotula das Bandeiras","Rua Coberta","Snowland","Trem Maria Fumaça","Vila Olímpica Eduardo Tissott","Vinicola Masotti","Vinícola Ravanello","Vinícola Stopassola"
"A Mina",1303,151,0,145,137,1,0,2,28,4,195,1,0,14,0,11,15,7,0,0,251,18,0,249,66,0,0,9,178,230,366,0,716,312,26,558,123,175,69,3,268,11,5,8,63,15,158,1,18,105,0,0,114,269,178,2,172,0,100,60,96,409,465,0,0,4,42,0
"A Rua Torta de Gramado",151,1823,0,238,138,2,1,7,34,7,396,8,2,41,0,11,15,9,0,0,363,32,1,684,90,0,1,25,136,322,795,0,1199,413,55,879,271,333,73,1,371,46,6,9,89,9,263,1,13,81,0,0,70,504,296,9,595,2,270,110,279,1036,596,1,0,5,51,0
"Adega Dom Carlo",0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Aldeia do Papai Noel",145,238,0,3703,269,0,0,16,34,4,278,5,0,22,0,13,17,3,0,1,619,25,1,429,70,0,1,25,402,454,797,1,1919,462,26,2020,148,367,121,1,523,26,3,8,85,5,321,0,14,121,0,0,106,368,205,13,302,1,123,86,153,1301,1288,2,0,10,49,0
"Alpen Park",137,138,0,269,4362,0,1,10,23,4,270,2,0,8,0,16,19,12,0,0,578,24,0,367,74,0,1,24,447,498,660,1,1670,329,12,1460,194,222,85,1,643,13,2,20,113,5,306,1,65,172,0,0,351,369,206,6,176,0,170,98,143,824,1334,0,0,4,54,0
"Caminho das Estrelas",1,2,0,0,0,7,0,0,0,0,2,0,1,1,1,0,0,2,0,0,1,0,3,2,0,0,0,0,0,1,4,1,3,2,1,4,2,3,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,3,1,0,4,0,2,2,1,5,2,0,1,0,0,0
"Capela Cristo Ressuscitado",0,1,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,1,0,1,1,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0
"Caro Watson Escape Game",2,7,0,16,10,0,0,617,0,0,6,0,0,0,0,0,27,1,0,0,12,2,0,8,1,0,0,4,9,8,12,0,53,15,0,47,1,4,3,0,9,1,0,0,0,0,3,1,1,2,0,0,3,9,2,0,4,0,1,0,1,34,49,0,0,0,3,0
"Casa Centenária",28,34,0,34,23,0,0,0,255,4,46,0,0,3,0,5,1,1,0,0,80,80,0,61,32,0,0,1,40,64,108,0,155,41,13,129,30,43,16,2,98,1,2,56,61,3,38,0,4,18,0,0,6,71,42,1,71,0,30,18,40,109,66,0,0,1,7,0
"Casa das Artes",4,7,1,4,4,0,0,0,4,42,12,0,0,2,0,3,0,0,0,0,8,1,1,10,4,0,0,1,8,6,19,0,29,12,8,20,5,4,5,0,7,0,1,2,7,3,8,0,0,4,0,0,1,9,9,2,12,1,5,5,11,17,13,0,0,0,2,0
"Casa do Colono",195,396,0,278,270,2,0,6,46,12,4230,6,0,27,0,16,12,16,0,0,571,44,0,843,125,0,1,37,399,534,1523,0,2477,802,92,1837,410,301,88,4,634,29,8,19,144,11,303,0,28,163,0,0,109,695,346,9,652,0,408,205,284,1288,1095,0,0,6,118,0
"Casa Seganfredo",1,8,0,5,2,0,0,0,0,0,6,233,0,0,0,0,0,0,0,0,7,1,0,14,0,0,0,6,1,3,21,0,49,29,0,23,2,8,1,0,2,0,0,0,0,0,1,0,0,1,0,0,1,5,2,0,7,0,1,0,0,38,19,0,0,0,8,0
"Cascata Véu de Noiva",0,2,0,0,0,1,0,0,0,0,0,0,10,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,2,2,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,0,0,0,0,4,1,0,1,0,0,0
"Central de Informações Turísticas de Gramado",14,41,0,22,8,1,0,0,3,2,27,0,0,112,0,3,1,3,0,0,25,4,1,45,12,0,1,2,9,20,59,1,73,29,9,47,25,28,7,0,29,13,2,2,7,2,18,0,2,5,0,0,4,43,32,0,44,1,30,23,32,78,28,0,0,1,1,0
"Centro de Informações Turísticas",0,0,0,0,0,1,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"Centro Municipal de Cultura",11,11,0,13,16,0,0,0,5,3,16,0,0,3,0,105,0,5,0,0,27,5,0,21,13,0,0,1,19,20,37,1,64,17,5,57,15,16,14,3,42,3,2,5,16,1,26,0,6,11,0,0,8,41,30,0,32,0,17,22,23,29,36,1,0,0,3,0
"Chave-Mestra Escape Game Gramado",15,15,0,17,19,0,0,27,1,0,12,0,0,1,0,0,675,2,0,0,24,2,0,23,3,0,0,5,15,16,30,0,71,22,1,54,1,26,7,0,13,0,1,0,4,0,11,0,0,7,0,0,12,10,3,1,12,0,5,2,5,54,76,0,0,1,3,0
"Cine -Teatro Elizabeth Rosenfeld",7,9,0,3,12,2,0,1,1,0,16,0,0,3,0,5,2,68,0,0,11,1,0,17,8,0,0,1,10,16,35,0,42,15,3,30,10,9,7,3,18,2,0,0,5,1,16,0,3,6,0,0,4,30,15,1,20,0,16,12,12,41,26,0,0,0,5,0
"Clube da Crianca",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Colorio",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2,1,0,0,0,0,0
"Dreamland Museu de Cera",251,363,0,619,578,1,1,12,80,8,571,7,0,25,0,27,24,11,0,0,6750,57,0,1044,205,0,2,33,624,3346,1806,1,3729,645,43,3521,345,544,199,3,2877,28,7,37,491,13,615,0,45,234,0,0,284,865,486,9,516,0,303,198,367,1989,2393,0,0,4,110,0
"Ervateira Marcon - Natural de Gramado",18,32,0,25,24,0,0,2,80,1,44,1,0,4,0,5,2,1,0,0,57,215,0,52,17,0,0,2,28,57,85,0,112,39,7,100,23,29,10,3,70,1,3,48,37,1,24,0,4,13,0,0,4,33,25,0,55,0,29,16,27,74,57,0,0,4,4,0
"Estátua do Maestro Eleazar de Carvalho",0,1,1,1,0,3,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,6,0,1,0,0,0,0,1,1,1,1,0,0,0,2,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,2,1,1,1,2,0,0,1,1,0,0
"Fonte do Amor Eterno",249,684,0,429,367,2,1,8,61,10,843,14,0,45,0,21,23,17,0,0,1044,52,0,4928,161,0,1,57,358,959,2578,0,3385,858,70,2341,529,528,142,4,1058,49,8,28,233,16,454,0,30,156,0,0,183,1066,601,7,835,0,499,265,425,2225,1687,0,0,7,149,0
"Fragram - Museu do Perfume",66,90,1,70,74,0,0,1,32,4,125,0,0,12,0,13,3,8,0,0,205,17,1,161,745,0,0,3,78,180,280,1,461,178,20,395,104,93,62,3,214,11,1,12,125,5,141,0,9,43,0,0,34,179,126,0,125,1,80,45,108,273,187,1,0,3,10,0
"Galeria Arte12b",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Galleria D'arte Giovanni Bocchi",0,1,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,2,0,0,1,0,0,12,0,0,1,0,0,2,0,0,1,1,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,2,0,0,0,0,0
"Gram Bier",9,25,0,25,24,0,0,4,1,1,37,6,0,2,0,1,5,1,0,0,33,2,0,57,3,0,0,410,14,34,80,0,160,51,2,95,16,27,1,0,26,1,0,1,4,0,21,0,3,4,0,0,5,35,20,0,23,0,10,6,13,103,71,0,0,2,14,0
