"","X2011","X2012","X2013","X2014","X2015","X2016","X2017","X2018"
"Alpen Park",10,7,16,25,31.5,25,16.5,20
"Dreamland Museu de Cera",11.5,7,16,19.5,8,13.5,16.5,15
"Fragram - Museu do Perfume",14.5,14.5,27.5,19.5,18.5,28,26,22
"GramadoZoo",8,3.5,5,9.5,18.5,25,16.5,24.5
"Harley Motor Show",5.5,7,12.5,19.5,18.5,13.5,22,17.5
"Igreja Matriz São Pedro Apóstolo",1.5,7,2,2,18.5,13.5,3.5,6.5
"Lago Negro",3.5,1,1,2,2,5.5,3.5,1.5
"Mini Mundo",5.5,2,9.5,2,2,2,11.5,1.5
"Mirante do Belvedere",14.5,14.5,12.5,19.5,18.5,21.5,16.5,24.5
"Mundo Encantado",14.5,14.5,19,25,18.5,28,28.5,24.5
"Museu do Automóvel - Hollywood Dream Cars",8,3.5,5,19.5,8,5.5,16.5,17.5
"O Reino do Chocolate",14.5,18.5,9.5,9.5,8,13.5,24.5,11.5
"Parque Gaúcho",17,21.5,5,25,26.5,31,28.5,31.5
"Pórtico via Nova Petrópolis",3.5,7,12.5,9.5,8,21.5,8,6.5
"Pórtico Via Taquara",1.5,11.5,5,9.5,2,13.5,11.5,20
"Praça Major Nicoletti",11.5,18.5,12.5,19.5,18.5,13.5,22,20
"Rotula das Bandeiras",8,14.5,21.5,9.5,8,13.5,8,31.5
"Rua Coberta",18,10,8,9.5,8,2,1,3
"A Mina",,24.5,21.5,9.5,18.5,13.5,22,15
"Casa do Colono",,11.5,16,9.5,26.5,13.5,16.5,6.5
"Centro Municipal de Cultura",,24.5,35,28,26.5,35.5,43,41.5
"Cine -Teatro Elizabeth Rosenfeld",,28.5,36,32.5,41,38.5,46,41.5
"Ervateira Marcon - Natural de Gramado",,28.5,29,28,37,33.5,38,38
"Le Jardin Parque de Lavanda",,18.5,24.5,19.5,8,21.5,8,11.5
"Museu Fioreze",,30,24.5,32.5,37,38.5,40,43
"Museu Gramado - Minerais & Pedras Preciosas",,23,5,9.5,31.5,28,32.5,28
"Parque do Pinheiro Grosso",,21.5,31,31,40,31,43,44
"Parque Temático Mundo Gelado",,27,27.5,28,31.5,33.5,28.5,28
"Praça das Etnias",,26,19,19.5,18.5,5.5,8,6.5
"Prefeitura Municipal de Gramado",,18.5,24.5,9.5,26.5,21.5,24.5,28
"Casa Centenária",,,24.5,34.5,31.5,35.5,37,39.5
"Fonte do Amor Eterno",,,30,9.5,18.5,13.5,3.5,6.5
"Memorial Casa Italiana",,,32,36.5,31.5,25,32.5,37
"Museu de Artes Dr. Carlos Nelz",,,33,30,42,,,
"Museu do Sapato",,,34,39,37,44,43,
"Snowland",,,19,9.5,18.5,2,8,15
"Vinícola Ravanello",,,37,34.5,31.5,37,32.5,35
"A Rua Torta de Gramado",,,,41,8,13.5,3.5,6.5
"Casa das Artes",,,,40,37,40.5,47,48.5
"Mundo de Chocolate",,,,36.5,8,13.5,16.5,11.5
"Museu Naval",,,,38,37,42.5,39,45
"Aldeia do Papai Noel",,,,,18.5,5.5,16.5,11.5
"Gram Bier",,,,,44,31,32.5,31.5
"Museu do Festival de Cinema de Gramado",,,,,43,40.5,35,24.5
"Caro Watson Escape Game",,,,,,45,36,36
"Casa Seganfredo",,,,,,46,45,39.5
"Colorio",,,,,,47,48,
"Vinicola Masotti",,,,,,42.5,41,34
"Chave-Mestra Escape Game Gramado",,,,,,,28.5,31.5
"Adega Dom Carlo",,,,,,,,48.5
"Parque Olivas de Gramado",,,,,,,,47
"Vinícola Stopassola",,,,,,,,46
